Date;Time;Severity;TID;This;Function;Message
2023/02/02;16:14:17.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 371001"
2023/02/02;16:14:18.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 372001"
2023/02/02;16:14:19.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 373001"
2023/02/02;16:14:20.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 374001"
2023/02/02;16:14:21.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 375001"
2023/02/02;16:14:22.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 376001"
2023/02/02;16:14:23.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 377001"
2023/02/02;16:14:24.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 378001"
2023/02/02;16:14:25.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 379001"
2023/02/02;16:14:26.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 380001"
2023/02/02;16:14:27.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 381001"
2023/02/02;16:14:28.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 382001"
2023/02/02;16:14:29.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 383001"
2023/02/02;16:14:30.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 384001"
2023/02/02;16:14:31.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 385001"
2023/02/02;16:14:32.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 386001"
2023/02/02;16:14:33.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 387001"
2023/02/02;16:14:34.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 388001"
2023/02/02;16:14:35.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 389001"
2023/02/02;16:14:36.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 390001"
2023/02/02;16:14:37.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 391001"
2023/02/02;16:14:38.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 392001"
2023/02/02;16:14:39.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 393001"
2023/02/02;16:14:40.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 394001"
2023/02/02;16:14:41.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 395001"
2023/02/02;16:14:42.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 396001"
2023/02/02;16:14:43.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 397001"
2023/02/02;16:14:44.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 398001"
2023/02/02;16:14:45.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 399001"
2023/02/02;16:14:46.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 400001"
2023/02/02;16:14:47.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 401001"
2023/02/02;16:14:48.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 402001"
2023/02/02;16:14:49.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 403001"
2023/02/02;16:14:50.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 404001"
2023/02/02;16:14:51.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 405001"
2023/02/02;16:14:52.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 406001"
2023/02/02;16:14:53.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 407001"
2023/02/02;16:14:54.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 408001"
2023/02/02;16:14:55.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 409001"
2023/02/02;16:14:56.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 410001"
2023/02/02;16:14:57.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 411001"
2023/02/02;16:14:58.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 412001"
2023/02/02;16:14:59.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 413001"
2023/02/02;16:15:00.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 414001"
2023/02/02;16:15:01.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 415001"
2023/02/02;16:15:02.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 416001"
2023/02/02;16:15:03.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 417001"
2023/02/02;16:15:04.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 418001"
2023/02/02;16:15:05.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 419001"
2023/02/02;16:15:06.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 420001"
2023/02/02;16:15:07.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 421001"
2023/02/02;16:15:08.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 422001"
2023/02/02;16:15:09.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 423001"
2023/02/02;16:15:10.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 424001"
2023/02/02;16:15:11.681;INFO;9467;0;ecat_main_loop@163;"ecat_main_loop: 425001"
