Date;Time;Severity;TID;This;Function;Message
2023/02/02;16:08:35.568;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.569;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.569;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.569;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.570;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.570;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.571;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.571;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.572;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.572;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.573;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.573;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.574;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.574;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.575;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.575;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.576;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.576;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.577;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.577;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.578;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.578;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.579;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.579;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.580;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.580;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.581;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.581;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.582;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.582;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.583;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.583;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.584;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.584;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.585;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.585;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.586;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.586;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.587;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.587;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.588;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.588;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.589;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.589;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.590;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.590;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.591;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.591;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.592;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.592;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.593;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.593;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.594;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.594;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.595;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.595;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.596;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.596;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.597;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.597;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.598;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.598;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.599;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.599;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.600;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.600;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.601;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.601;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.602;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.602;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.603;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.603;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.604;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.604;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.605;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.605;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.606;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.606;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.607;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.607;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.608;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.608;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.609;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.609;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.610;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.610;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.611;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.611;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.612;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.612;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.613;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.613;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.614;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.614;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.615;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.615;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.616;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.616;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.617;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.617;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.618;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.618;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.619;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.619;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.620;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.620;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.621;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.621;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.622;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.622;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.623;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.623;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.624;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.624;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.625;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.625;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.626;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.626;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.627;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.627;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.628;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.628;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.629;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.629;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.630;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.630;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.631;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.631;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.632;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.632;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.633;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.633;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.634;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.634;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.635;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.635;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.636;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.636;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.637;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.637;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.638;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
2023/02/02;16:08:35.638;WARN;9469;0;agree_joint_controller::homing_control@674;"BOUNDARY REACHED."
2023/02/02;16:08:35.639;WARN;9469;0;agree_joint_controller::homing_control@658;"DOING HOMING..."
